date_vente,heure,ticket_id,produit,categorie,quantite,prix_unitaire_ttc,moyen_paiement
2024-01-01,19:15,T1001,Coca-Cola 33cl,Boissons froides,1.0,2.5,CB
2024-01-01,08:27,T1002,Thé menthe,Boissons chaudes,1.0,2.0,CB
2024-01-01,08:27,T1002,Croissant,Snacking,1.0,1.2,CB
2024-01-01,08:27,T1002,Coca-Cola 33cl,Boissons froides,1.0,2.5,CB
2024-01-01,17:14,T1003,Sandwich jambon beurre,Snacking,2.0,4.8,CB
2024-01-01,17:14,T1003,Café expresso,Boissons chaudes,1.0,1.3,CB
2024-01-01,11:13,T1004,Marlboro Red,Tabac,1.0,12.5,Espèces
2024-01-01,11:13,T1004,Coca-Cola 33cl,Boissons froides,1.0,2.5,Espèces
2024-01-01,18:51,T1005,Euromillions,FDJ,1.0,2.5,CB
2024-01-01,18:51,T1005,Coca-Cola 33cl,Boissons froides,1.0,2.5,CB
2024-01-01,18:51,T1005,Feuilles OCB,Accessoires,2.0,1.2,CB
2024-01-01,21:36,T1006,Thé menthe,Boissons chaudes,1.0,2.0,CB
2024-01-01,21:36,T1006,Café allongé,Boissons chaudes,2.0,1.5,CB
2024-01-01,20:55,T1007,Sandwich jambon beurre,Snacking,1.0,4.8,CB
2024-01-01,20:55,T1007,Euromillions,FDJ,1.0,2.5,CB
2024-01-01,20:55,T1007,Marlboro Red,Tabac,1.0,12.5,CB
2024-01-01,20:55,T1007,Grattage Astro,FDJ,1.0,5.0,CB
2024-01-01,18:38,T1008,Pain au chocolat,Snacking,1.0,1.3,CB
2024-01-01,18:38,T1008,Red Bull,Boissons froides,2.0,2.8,CB
2024-01-01,18:38,T1008,Feuilles OCB,Accessoires,1.0,1.2,CB
2024-01-01,18:38,T1008,Croissant,Snacking,1.0,1.2,CB
2024-01-01,19:03,T1009,Café allongé,Boissons chaudes,1.0,1.5,CB
2024-01-01,19:03,T1009,Marlboro Red,Tabac,1.0,12.5,CB
2024-01-01,17:45,T1010,Briquet Bic,Accessoires,1.0,1.5,CB
2024-01-01,17:45,T1010,Lucky Strike,Tabac,1.0,12.2,CB
2024-01-01,17:45,T1010,Euromillions,FDJ,1.0,2.5,CB
2024-01-01,17:45,T1010,Marlboro Red,Tabac,1.0,12.5,CB
2024-01-01,17:57,T1011,Camel Filters,Tabac,3.0,11.9,CB
2024-01-01,17:57,T1011,Pain au chocolat,Snacking,1.0,1.3,CB
2024-01-01,19:55,T1012,Red Bull,Boissons froides,1.0,2.8,CB
2024-01-01,19:55,T1012,Grattage Astro,FDJ,1.0,5.0,CB
2024-01-01,15:16,T1013,Café expresso,Boissons chaudes,1.0,1.3,Espèces
2024-01-01,15:16,T1013,Coca-Cola 33cl,Boissons froides,1.0,2.5,Espèces
2024-01-01,18:07,T1014,Red Bull,Boissons froides,1.0,2.8,CB
2024-01-01,18:07,T1014,Euromillions,FDJ,1.0,2.5,CB
2024-01-01,22:48,T1015,Coca-Cola 33cl,Boissons froides,1.0,2.5,CB
2024-01-01,22:48,T1015,Panini fromage,Snacking,1.0,5.5,CB
2024-01-01,22:48,T1015,Grattage Astro,FDJ,1.0,5.0,CB
2024-01-01,16:49,T1016,Café expresso,Boissons chaudes,1.0,1.3,Espèces
2024-01-01,16:49,T1016,Marlboro Red,Tabac,2.0,12.5,Espèces
2024-01-01,16:49,T1016,Pain au chocolat,Snacking,2.0,1.3,Espèces
2024-01-01,12:03,T1017,Thé menthe,Boissons chaudes,1.0,2.0,CB
2024-01-01,12:03,T1017,Feuilles OCB,Accessoires,1.0,1.2,CB
2024-01-01,12:03,T1017,Camel Filters,Tabac,2.0,11.9,CB
2024-01-01,09:30,T1018,Red Bull,Boissons froides,2.0,2.8,Espèces
2024-01-01,09:30,T1018,Sandwich jambon beurre,Snacking,1.0,4.8,Espèces
2024-01-01,09:30,T1018,Briquet Bic,Accessoires,1.0,1.5,Espèces
2024-01-01,19:12,T1019,Lucky Strike,Tabac,1.0,12.2,Espèces
2024-01-01,19:12,T1019,Camel Filters,Tabac,1.0,11.9,Espèces
2024-01-01,10:21,T1020,Pain au chocolat,Snacking,1.0,1.3,CB
2024-01-01,19:03,T1021,Café allongé,Boissons chaudes,2.0,1.5,CB
2024-01-01,11:42,T1022,Eau 50cl,Boissons froides,1.0,1.0,CB
